StreamName,Latitude,Longitude,,,,
Illahee Creek,47.608846,-122.601919,,,,
Jackman Creek (RB),48.555147,-121.626012,,,,
,,,,,,
Jim Creek (RB),48.215393,-121.992495,,,,
Jimmycomelately Creek 17.0285,47.987612,-123.036576,,,,
,,,,,,
Johnson Creek,46.829625,-122.728947,,,,
Jones Creek (RB),45.682370,-122.299933,,,,
Jordan Creek - 05.0350,48.484431,-121.401966,,,,
Judd Creek,47.417494,-122.477406,,,,
Kamm Creek,48.944017,-122.438122,,,,
Kapowsin Creek (LB) 10.0600,47.008349,-122.211169,,,,
Kendall Creek (RB),48.908636,-122.141841,,,,
,,,,,,
,,,,,,
Kitsap Creek (RB),47.583343,-122.713881,,,,
,,,,,,
,,,,,,
Lake Creek (RB),48.344011,-122.206360,,,,
Lake Joy,47.696559,-121.870390,,,,
Langlois Creek (LB),47.629118,-121.889042,,,,
Leland Creek (LB),47.600951,-121.098062,,,,
,,,,,,
Leyh Creek (RB),48.240906,-124.319796,,,,
Lime Creek (LB),48.210230,-121.258032,,,,
Little Bear Creek (RB),47.807468,-122.157607,,,,
Little French Creek (LB),48.268046,-121.737588,,,,
Little Hoko River (RB),48.222274,-124.350395,,,,
Little Mission Creek 15.0493,47.437841,-122.886654,,,,
Little Quilcene River 17.0076,47.866958,-122.943805,,,,
,,,,,,
,,,,,,
,,,,,,
Ludlow Creek,47.917259,-122.707931,,,,
Macaulay Creek,48.842685,-122.232417,,,,
Mannser Creek (RB),48.538904,-122.033323,,,,
Manzanita Creek,47.673702,-122.540770,,,,
,,,,,,
Marble Creek (RB),48.534411,-121.275259,,,,
Marple Creek,47.748626,-122.896136,,,,
,,,,,,
Mccarty Creek (LB),48.727771,-122.229154,,,,
McDonald Creek 01.0435,48.044460,-123.243902,,,,
Meadow Creek (LB),47.849800,-121.215862,,,,
Middle Fork Nooksack River (LB),48.763127,-122.027758,,,,
Middle Fork Quilceda,48.117512,-122.157272,,,,
,,,,,,
,,,,,,
Mitchell Creek,47.971615,-120.186403,,,,
,,,,,,
Morovitz Creek (RB),48.742941,-121.671362,,,,
Mosher Creek,47.612260,-122.659681,,,,
Mundt Creek (RB),48.439959,-122.177057,,,,
,,,,,,
Nelson Creek (RB),45.718419,-121.873703,,,,
,,,,,,
Newaukum Creek (LB),47.250956,-121.951762,,,,
Nooksack River,48.877239,-122.336628,,,,
,,,,,,
North Creek (RB),47.831590,-122.204374,,,,
North Creek 15.0097,47.857208,-122.223775,,,,
North Fork Cascade River (RB),48.489110,-121.134520,,,,
North Fork Dakota Creek (RB),48.962526,-122.627822,,,,
North Fork Newaukum Creek (RB),46.680551,-122.734517,,,,
North Fork Skykomish River (RB),47.890623,-121.372760,,,,
North Fork Stillaguamish River (RB),48.280046,-121.847363,,,,
O'Brian Creek (LB),48.492201,-121.473289,,,,
,,,,,,
Olalla Creek 15.0107,47.446330,-122.577870,,,,
,,,,,,
Oyster Creek,48.645368,-122.444263,,,,
Padden Creek,48.715308,-122.486246,,,,
Panther Creek (LB),45.864759,-121.830691,,,,
Parish Creek (RB),47.515327,-122.718434,,,,
Parker Creek (LB),47.248412,-123.735955,,,,
Patterson Creek (LB),47.623398,-121.974202,,,,
,,,,,,
Peoples Creek (RB),47.800104,-121.966947,,,,
Percival Creek (LS) 13.0029,47.018876,-122.931238,,,,
Pilchuck Creek (RB),48.256873,-122.182406,,,,
Pilchuck River (RB),47.986814,-122.035571,,,,
Plumbago Creek (LB),48.598519,-122.122418,,,,
Porter Creek (LB),46.938024,-123.307203,,,,
Porter Creek (RB),46.982772,-123.247814,,,,
,,,,,,
Pressentin Creek (LB),48.470889,-121.838794,,,,
Puyallup River,47.056883,-122.195150,,,,
Pysht River,48.167833,-124.210581,,,,
Racehorse Creek (LB),48.870837,-122.083205,,,,
Raging River (LB),47.467908,-121.865937,,,,
,,,,,,
Rendsland Creek 15.0439,47.409604,-123.057401,,,,
Ripley Creek (LB),47.879731,-122.905481,,,,
,,,,,,
Rocky Creek 15.0015,47.396270,-122.777327,,,,
,,,,,,
,,,,,,
Sadie Creek (RB),48.131773,-123.905195,,,,
Salmon Creek 17.0245,47.977542,-122.924390,,,,
Salmonberry Creek (LB) 15.0188,47.515566,-122.592769,,,,
Salt Creek,48.149431,-123.692592,,,,
Samish River,48.580069,-122.292633,,,,
Schweitzer Creek (LB),48.060983,-121.693047,,,,
Seabeck Creek 15.0400,47.611012,-122.851726,,,,
Segelsen Creek (RB),48.310145,-121.708636,,,,
,,,,,,
Siberia Creek (LB),48.165145,-122.014704,,,,
,,,,,,
Skagit River,48.518868,-121.850192,,,,
Skookum Creek (RB),48.688659,-122.059658,,,,
Smith Creek (RB),46.786258,-123.610938,,,,
Snow Creek 17.0219,47.936759,-122.947040,,,,
Sorenson Creek (LB),48.468182,-122.095908,,,,
South Fork Nooksack River (LB),48.659432,-122.123202,,,,
South Fork Pysht River (RB),48.156241,-124.138693,,,,
South Fork Sauk River (LB),48.033969,-121.435469,,,,
South Fork Tolt River (LB),47.688602,-121.721740,,,,
South Prairie Creek (RB) 10.0429,47.116921,-122.010431,,,,
,,,,,,
,,,,,,
Squalicum Creek,48.784272,-122.439633,,,,
,,,,,,
Standard Creek,48.750145,-122.255299,,,,
Steele Creek,47.640170,-122.632497,,,,
Steele Creek-EF,47.652631,-122.631264,,,,
Steele Creek-SF,47.627727,-122.623285,,,,
Stevens Creek (RB),46.755195,-121.642988,,,,
Stony Creek (LB),46.974562,-123.044832,,,,
Straight Creek (LB),46.227121,-121.838323,,,,
Strawberry Creek,48.136230,-121.802718,,,,
Sulphur Creek (RB),48.686270,-121.772239,,,,
Sultan River (RB),47.931657,-121.797998,,,,
Swamp Creek (RB),47.815538,-122.253015,,,,
Tahuya River 15.0446,47.469366,-122.938449,,,,
Tarboo Creek 17.0129,47.898796,-122.824852,,,,
Tenas Creek (RB),48.329797,-121.377010,,,,
Tenmile Creek (LB),48.865601,-122.437772,,,,
Thomas Creek,48.531955,-122.302540,,,,
Thomas Creek (LB),48.525874,-122.345494,,,,
,,,,,,
,,,,,,
Thorndyke Creek,47.854674,-122.748342,,,,
Thurston Creek (LB),46.776742,-122.417752,,,,
Tibbetts Creek (LS),47.526247,-122.063677,,,,
,,,,,,
Tokul Creek (RB),47.615497,-121.802280,,,,
Union River 15.0503,47.492073,-122.808198,,,,
Voight Creek (LB),47.009175,-122.062036,,,,
Walker Creek (LB),48.383251,-122.185894,,,,
Wallace River (RB),47.873217,-121.659505,,,,
,,,,,,
,,,,,,
WF Church Creek,48.251201,-122.309649,,,,
Whatcom Creek,48.754420,-122.453591,,,,
White River (RB) 10.0031,47.199828,-122.258717,,,,
Whitechuck River (RB),48.176638,-121.457373,,,,
,,,,,,
Wilkeson Creek (LB) 10.0432,47.091785,-122.020263,,,,
Woodland Creek 13.0006,47.070294,-122.811423,,,,
Worthy Creek (RB),48.055352,-121.882497,,,,
Wright Creek,46.870320,-121.609498,,,,
